symbol,name,cmc_rank,price_usd,market_cap_usd,volume_24h_usd,pct_1h,pct_24h,pct_7d,circulating_supply,last_updated,timestamp_snapshot
MANA,Decentraland,145,0.0869138211123486,172602988.81096312,15519433.58723002,-0.17966797,0.50889519,0.05471732,1985909566.5331404,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
MATES,MATES,7645,0.000018430486840333087,0,0,0,-0.57966814,-3.02073583,0,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
MELANIA,Official Melania Meme,183,0.10211895853043122,102118574.13043675,15866735.5500953,0.82364205,-0.26403988,-7.02030188,999996235.762683,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
MOG,Mog Coin,361,1.3140787878650118e-7,51323650.17147973,8828622.38226743,1.0739196,1.22237467,-3.28232619,390567526433216.7,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
MOTHER,Mother Iggy,1971,0.0008842470988241287,871994.2232238925,109078.0389879,-0.55427669,0.35870273,2.44693718,986143154.31,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
NEAR,NEAR Protocol,40,1.3902463141857586,1797254972.4928906,235665493.9316402,1.07580131,3.1856197,8.56643582,1292760106,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
NEUR,neur.sh,3002,0.00007983016435704065,74191.17769055099,0,0,0.93175314,2.99941232,929362707.544115,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
NIL,Nillion,803,0.03336855510835875,14313158.081012063,2582292.48511941,-0.23994581,2.06840519,-0.81917375,428941500,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
NPC,Non-Playable Coin,332,0.00761834148765853,57521810.5312603,3778489.19299889,2.57033243,3.64453999,5.91397548,7550437404.839859,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
OM,MANTRA (old),4110,0.010879631832055028,0,99994.71987756,1.2790255,2.9967322,1.87187686,0,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
ON,Orochi Network,682,0.13897595872023766,20050756.444362286,23084029.74321761,3.99738221,61.73467996,72.82506547,144275000,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
OP,Optimism,124,0.10947928609554201,233898280.55696583,55685165.7155505,0.75439986,1.63943895,-3.20508689,2136461507,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
ORCA,Orca,352,0.8785214173277667,53413040.26054451,6843221.14063884,0.26977753,0.91890782,2.85597739,60798791.249749,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
PEPE,Pepe,47,0.00000352616928521539,1459031866.2903984,254725062.85964873,0.12185175,1.73542089,1.20191615,413772495951304.25,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
PIXEL,Pixels,597,0.007477016835399876,25291743.26185566,14901908.76096294,-0.24728762,0.90917268,15.05231922,3382598142.9,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
POL,Polygon (prev. MATIC),59,0.08323429903635433,884361077.765085,52405705.77125274,0.52954402,0.88467965,-10.45843333,10624959758.222048,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
PONKE,Ponke,775,0.027283390771248386,15157130.208668727,1530052.24800651,0.27067393,-0.79578384,-1.98331825,555544226,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
PYTH,Pyth Network,121,0.04235512862817742,243541238.06808755,9532903.66998262,-0.87964018,-3.00486712,3.08946972,5749982256.129141,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
QI,BENQI,911,0.0014829494066976121,10677235.728222808,743499.36600736,0.50516647,-0.13545071,2.78307562,7200000000,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
RAY,Raydium,146,0.6376242404966813,171329645.03756598,13144284.83469937,0.5076839,1.76790985,3.027164,268700018.217795,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
REGENT,REGENT COIN,3062,0.0218287245084684,62814.64346599903,7.55884152,3.80161047,4.67484869,8.65499367,2877614.01,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
RENDER,Render,56,1.8716957688365812,970929566.7525328,58089629.05619883,-0.07506497,-0.4373431,-3.61676043,518743261.01407415,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
